Timestamp,Packet Length,Protocol,Gap,Label
1769957206.473792,66,1,0,0
1769957206.47388,54,1,0,0
1769957207.09548,66,1,0,0
1769957207.392817,93,1,0,0
1769957207.392817,78,1,0,0
1769957207.392817,54,1,0,0
1769957207.392929,54,1,0,0
1769957207.413611,66,1,0,0
1769957207.413704,54,1,0,0
1769957207.420139,502,1,0,0
1769957207.729242,1406,1,0,0
1769957207.729242,1406,1,0,0
1769957207.729242,1406,1,0,0
1769957207.729242,1406,1,0,0
1769957207.729242,1406,1,0,0
1769957207.729242,1406,1,0,0
1769957207.729242,1080,1,0,0
1769957207.729396,54,1,0,0
1769957207.752114,134,1,0,0
1769957207.752695,1394,1,0,0
1769957207.752695,430,1,0,0
1769957208.219802,54,1,0,0
1769957208.219802,157,1,0,0
1769957208.219802,855,1,0,0
1769957208.219919,54,1,0,0
1769957208.231717,105,2,0,0
1769957208.263159,161,2,0,0
1769957208.264437,66,1,0,0
1769957208.546957,66,1,0,0
1769957208.547098,54,1,0,0
1769957208.553108,531,1,0,0
1769957208.673578,54,1,0,0
1769957208.711294,54,1,0,0
1769957208.935208,1506,1,0,0
1769957208.935208,1506,1,0,0
1769957208.935208,1506,1,0,0
1769957208.935208,1506,1,0,0
1769957208.935208,1506,1,0,0
1769957208.935208,407,1,0,0
1769957208.935361,54,1,0,0
1769957208.954411,134,1,0,0
1769957208.954842,764,1,0,0
1769957208.955061,1494,1,0,0
1769957208.955061,523,1,0,0
1769957209.239314,54,1,0,0
1769957209.239314,157,1,0,0
1769957209.239314,54,1,0,0
1769957209.245772,474,1,0,0
1769957209.245946,54,1,0,0
1769957209.251605,1394,1,0,0
1769957209.251605,430,1,0,0
1769957209.296482,54,1,0,0
1769957209.29665,54,1,0,0
1769957209.296978,78,1,0,0
1769957209.297074,54,1,0,0
1769957209.559934,78,1,0,0
1769957209.580867,54,1,0,0
1769957209.581172,857,1,0,0
1769957209.59749,105,2,0,0
1769957209.610281,54,1,0,0
1769957209.623051,54,1,0,0
1769957209.627346,161,2,0,0
1769957209.628518,66,1,0,0
1769957209.858308,55,1,0,0
1769957209.922949,66,1,0,0
1769957209.923108,54,1,0,0
1769957209.926119,66,1,0,0
1769957209.929304,531,1,0,0
1769957210.265726,55,1,0,0
1769957210.266366,1506,1,0,0
1769957210.266366,1506,1,0,0
1769957210.266366,1506,1,0,0
1769957210.266366,1506,1,0,0
1769957210.266366,1506,1,0,0
1769957210.266366,409,1,0,0
1769957210.266563,54,1,0,0
1769957210.286741,134,1,0,0
1769957210.286922,768,1,0,0
1769957210.287282,1494,1,0,0
1769957210.287282,1494,1,0,0
1769957210.287282,1494,1,0,0
1769957210.287282,1494,1,0,0
1769957210.287282,1494,1,0,0
1769957210.287282,1494,1,0,0
1769957210.287282,1494,1,0,0
1769957210.287282,1494,1,0,0
1769957210.287282,1494,1,0,0
1769957210.316556,66,1,0,0
1769957210.57225,54,1,0,0
1769957210.572347,1494,1,0,0
1769957210.573814,54,1,0,0
1769957210.573868,1494,1,0,0
1769957210.573868,1494,1,0,0
1769957210.573868,1494,1,0,0
1769957210.573868,1494,1,0,0
1769957210.574271,157,1,0,0
1769957210.574675,54,1,0,0
1769957210.574738,1494,1,0,0
1769957210.574738,1494,1,0,0
1769957210.574738,1494,1,0,0
1769957210.574738,1494,1,0,0
1769957210.576489,54,1,0,0
1769957210.576561,1494,1,0,0
1769957210.576561,1494,1,0,0
1769957210.576561,1494,1,0,0
1769957210.576561,1494,1,0,0
1769957210.576561,1494,1,0,0
1769957210.576561,1494,1,0,0
1769957210.576561,1494,1,0,0
1769957210.576561,1494,1,0,0
1769957210.613392,54,1,0,0
1769957210.61349,1494,1,0,0
1769957210.61349,1494,1,0,0
1769957210.856316,54,1,0,0
1769957210.856404,1494,1,0,0
1769957210.856404,1494,1,0,0
1769957210.857876,54,1,0,0
1769957210.857919,1494,1,0,0
1769957210.857919,1494,1,0,0
1769957210.857919,1494,1,0,0
1769957210.857919,1494,1,0,0
1769957210.857919,1494,1,0,0
1769957210.857919,1494,1,0,0
1769957210.86065,54,1,0,0
1769957210.86065,54,1,0,0
1769957210.86065,54,1,0,0
1769957210.86065,54,1,0,0
1769957210.86065,54,1,0,0
1769957210.860734,1494,1,0,0
1769957210.860734,1494,1,0,0
1769957210.860734,1494,1,0,0
1769957210.860734,1494,1,0,0
1769957210.860734,1494,1,0,0
1769957210.860734,1494,1,0,0
1769957210.860734,1494,1,0,0
1769957210.860734,1494,1,0,0
1769957210.860734,1494,1,0,0
1769957210.860734,1494,1,0,0
1769957210.860734,1494,1,0,0
1769957210.860734,1494,1,0,0
1769957210.860734,1494,1,0,0
1769957210.860734,1494,1,0,0
1769957210.860734,1494,1,0,0
1769957210.860734,1494,1,0,0
1769957210.860734,1494,1,0,0
1769957210.860734,1494,1,0,0
1769957210.860734,1494,1,0,0
1769957210.860734,1494,1,0,0
1769957210.860734,1494,1,0,0
1769957210.860734,1494,1,0,0
1769957210.860734,1494,1,0,0
1769957210.860734,1494,1,0,0
1769957210.860734,1494,1,0,0
1769957210.860734,1494,1,0,0
1769957210.896072,54,1,0,0
1769957210.896145,1494,1,0,0
1769957210.896145,1494,1,0,0
1769957210.937013,54,1,0,0
1769957210.937069,1494,1,0,0
1769957210.937069,1494,1,0,0
1769957211.140846,54,1,0,0
1769957211.140937,1494,1,0,0
1769957211.140937,1494,1,0,0
1769957211.140937,1494,1,0,0
1769957211.140937,1494,1,0,0
1769957211.14192,54,1,0,0
1769957211.14192,54,1,0,0
1769957211.142011,1494,1,0,0
1769957211.142011,1494,1,0,0
1769957211.142011,1494,1,0,0
