length,protocol,gap,label
391,1,0.0,0
56,1,3.3293371200561523,0
322,1,4.876367092132568,0
75,2,6.786691904067993,0
74,1,0.0004889965057373047,0
1294,2,0.016063928604125977,0
74,1,0.027177095413208008,0
176,2,0.011261940002441406,0
75,2,0.005423069000244141,0
66,1,0.00047206878662109375,0
176,2,0.0006928443908691406,0
442,1,0.0021190643310546875,0
1274,2,0.0010080337524414062,0
259,2,5.0067901611328125e-05,0
122,2,2.288818359375e-05,0
66,1,0.03224897384643555,0
127,2,0.0,0
110,2,0.0,0
110,2,0.005227088928222656,0
66,1,0.001981019973754883,0
278,1,0.0021178722381591797,0
70,0,0.013000011444091797,0
54,1,0.004544973373413086,0
66,1,0.020141124725341797,0
84,2,0.0027649402618408203,0
154,2,7.891654968261719e-05,0
314,2,3.409385681152344e-05,0
54,1,0.01362299919128418,0
110,2,0.0,0
90,2,0.027740955352783203,0
1294,2,0.26999902725219727,0
1294,2,0.0,0
142,2,0.0,0
398,2,0.0,0
90,2,0.04168105125427246,0
78,2,0.022369861602783203,0
90,2,0.006865978240966797,0
1294,2,0.5705142021179199,0
654,2,0.0,0
1294,2,0.0,0
270,2,0.0,0
1274,2,0.03268599510192871,0
506,2,9.202957153320312e-05,0
1274,2,3.1948089599609375e-05,0
1274,2,0.00011801719665527344,0
1274,2,3.1948089599609375e-05,0
1274,2,3.2901763916015625e-05,0
1274,2,3.0040740966796875e-05,0
1274,2,0.004077911376953125,0
506,2,7.200241088867188e-05,0
1210,2,2.8133392333984375e-05,0
90,2,0.0041429996490478516,0
90,2,6.29425048828125e-05,0
90,2,0.019752025604248047,0
78,2,0.002007007598876953,0
78,2,0.0002551078796386719,0
78,2,0.019780874252319336,0
1274,2,0.03955698013305664,0
1274,2,9.393692016601562e-05,0
1274,2,0.0002741813659667969,0
506,2,0.0009210109710693359,0
1274,2,0.0006299018859863281,0
1274,2,0.00035691261291503906,0
90,2,0.0009851455688476562,0
78,2,0.018035888671875,0
974,2,0.16704106330871582,0
366,2,0.0,0
1274,2,0.05189990997314453,0
474,2,0.00011610984802246094,0
1274,2,3.695487976074219e-05,0
1274,2,3.600120544433594e-05,0
1274,2,4.100799560546875e-05,0
506,2,4.1961669921875e-05,0
1274,2,4.100799560546875e-05,0
1274,2,3.695487976074219e-05,0
1274,2,3.600120544433594e-05,0
538,2,6.198883056640625e-05,0
1274,2,6.508827209472656e-05,0
1274,2,4.792213439941406e-05,0
1274,2,5.0067901611328125e-05,0
538,2,4.410743713378906e-05,0
1274,2,3.886222839355469e-05,0
1274,2,4.601478576660156e-05,0
1274,2,5.507469177246094e-05,0
538,2,5.3882598876953125e-05,0
1274,2,4.601478576660156e-05,0
1274,2,0.00019311904907226562,0
1274,2,8.296966552734375e-05,0
538,2,5.1975250244140625e-05,0
1274,2,4.00543212890625e-05,0
1114,2,5.793571472167969e-05,0
90,2,4.291534423828125e-05,0
110,2,0.002679109573364258,0
90,2,0.005646944046020508,0
78,2,0.018423080444335938,0
78,2,0.00805807113647461,0
90,2,0.027772903442382812,0
90,2,0.03400588035583496,0
1274,2,0.11562204360961914,0
1274,2,9.417533874511719e-05,0
122,2,3.790855407714844e-05,0
90,2,0.011581897735595703,0
110,2,0.0012969970703125,0
78,2,0.020243167877197266,0
90,2,0.00030803680419921875,0
78,2,0.020518779754638672,0
86,2,0.02094721794128418,0
1294,2,0.023610830307006836,0
90,2,0.0017671585083007812,0
1274,2,0.023056983947753906,0
1050,2,0.00015592575073242188,0
1274,2,6.389617919921875e-05,0
1274,2,4.8160552978515625e-05,0
1274,2,5.1021575927734375e-05,0
506,2,5.3882598876953125e-05,0
122,2,0.003016948699951172,0
110,2,0.00016808509826660156,0
190,2,0.003612995147705078,0
110,2,0.0004000663757324219,0
1274,2,0.0019998550415039062,0
1274,2,6.914138793945312e-05,0
1274,2,2.09808349609375e-05,0
845,2,1.7881393432617188e-05,0
122,2,2.8133392333984375e-05,0
78,2,0.016366958618164062,0
1274,2,0.0030379295349121094,0
1274,2,0.0001239776611328125,0
1274,2,6.818771362304688e-05,0
506,2,0.001416921615600586,0
538,2,6.699562072753906e-05,0
90,2,4.696846008300781e-05,0
126,2,0.0023810863494873047,0
78,2,0.000331878662109375,0
1038,2,0.0008990764617919922,0
90,2,0.01848292350769043,0
78,2,0.00015091896057128906,0
84,2,0.010538101196289062,0
154,2,8.106231689453125e-05,0
314,2,2.5033950805664062e-05,0
90,2,0.0002980232238769531,0
78,2,0.0026488304138183594,0
78,2,0.009536981582641602,0
974,2,0.1741950511932373,0
250,2,0.04139995574951172,0
366,2,0.004503965377807617,0
82,2,0.0034232139587402344,0
110,2,0.0435788631439209,0
1294,2,0.0,0
174,2,0.0,0
90,2,0.0009429454803466797,0
74,1,0.00047206878662109375,0
178,2,0.00010013580322265625,0
1274,2,0.002877950668334961,0
1274,2,7.295608520507812e-05,0
1274,2,0.0022020339965820312,0
538,2,8.988380432128906e-05,0
1274,2,0.0001270771026611328,0
1274,2,3.600120544433594e-05,0
1274,2,3.2901763916015625e-05,0
314,2,3.600120544433594e-05,0
78,2,0.012943029403686523,0
78,2,0.004709005355834961,0
74,1,0.007270097732543945,0
66,1,0.0019359588623046875,0
448,1,0.006918907165527344,0
1446,1,0.002026081085205078,0
269,1,0.0,0
90,2,0.008125066757202148,0
1274,2,8.702278137207031e-05,0
890,2,2.8848648071289062e-05,0
66,1,0.022237062454223633,0
1446,1,9.894371032714844e-05,0
1446,1,3.409385681152344e-05,0
1446,1,3.0040740966796875e-05,0
421,1,2.9802322387695312e-05,0
66,1,3.314018249511719e-05,0
78,2,5.602836608886719e-05,0
66,1,0.003919839859008789,0
66,1,0.005609989166259766,0
66,1,0.0,0
66,1,0.0,0
124,1,0.044816017150878906,0
1446,1,0.0,0
263,1,0.0,0
78,1,0.034522056579589844,0
78,1,6.604194641113281e-05,0
66,1,1.9073486328125e-05,0
243,1,1.7881393432617188e-05,0
122,2,0.00038909912109375,0
66,1,0.004621982574462891,0
154,2,0.016728878021240234,0
78,2,0.0035660266876220703,0
110,2,0.0019969940185546875,0
90,2,0.02049398422241211,0
110,2,0.0060939788818359375,0
90,2,0.023534059524536133,0
334,2,0.007930994033813477,0
718,2,0.0,0
122,2,0.01011514663696289,0
90,2,0.005519866943359375,0
78,2,0.013812065124511719,0
90,2,0.0004990100860595703,0
78,2,0.017579078674316406,0
90,2,0.006944894790649414,0
92,1,0.08679389953613281,0
66,1,0.0025131702423095703,0
186,2,0.09617400169372559,0
110,2,0.005132913589477539,0
346,2,0.017394065856933594,0
90,2,0.030699968338012695,0
110,2,0.01595902442932129,0
110,2,0.000392913818359375,0
90,2,0.0465700626373291,0
1294,2,1.6005818843841553,0
1294,2,0.0,0
1294,2,0.0,0
1006,2,0.0,0
90,2,0.04632902145385742,0
90,2,0.012673139572143555,0
78,2,0.007175922393798828,0
1294,2,0.011157035827636719,0
174,2,0.0,0
782,2,0.0,0
90,2,0.04243206977844238,0
78,2,0.019634008407592773,0
90,2,0.0025429725646972656,0
1294,2,0.026709794998168945,0
1274,2,0.010015010833740234,0
378,2,5.0067901611328125e-05,0
1274,2,1.6927719116210938e-05,0
1274,2,1.621246337890625e-05,0
218,2,1.4781951904296875e-05,0
1274,2,4.00543212890625e-05,0
1274,2,1.5020370483398438e-05,0
1274,2,2.002716064453125e-05,0
538,2,3.910064697265625e-05,0
1274,2,1.7881393432617188e-05,0
1274,2,1.5974044799804688e-05,0
1274,2,0.0001709461212158203,0
538,2,0.001964092254638672,0
1274,2,4.00543212890625e-05,0
1274,2,3.0040740966796875e-05,0
1274,2,1.2874603271484375e-05,0
538,2,1.4066696166992188e-05,0
1274,2,2.9087066650390625e-05,0
1274,2,5.078315734863281e-05,0
1274,2,1.3113021850585938e-05,0
538,2,1.3113021850585938e-05,0
1274,2,1.4781951904296875e-05,0
1274,2,9.417533874511719e-05,0
1274,2,1.2874603271484375e-05,0
538,2,1.4066696166992188e-05,0
1274,2,0.0020380020141601562,0
1274,2,3.2901763916015625e-05,0
1274,2,2.9087066650390625e-05,0
538,2,1.3113021850585938e-05,0
1274,2,2.5987625122070312e-05,0
1274,2,1.0967254638671875e-05,0
1274,2,2.5987625122070312e-05,0
538,2,1.2874603271484375e-05,0
1274,2,6.413459777832031e-05,0
1274,2,1.3828277587890625e-05,0
1274,2,2.5987625122070312e-05,0
538,2,3.910064697265625e-05,0
78,2,0.0024640560150146484,0
1274,2,0.0003349781036376953,0
1274,2,2.193450927734375e-05,0
1274,2,1.3113021850585938e-05,0
538,2,1.0967254638671875e-05,0
